# time already scaled back by lambda=20.
rep	mean_root_age	sample_seed	num_roots	root_ages
590	2800.0	1895337096	2	3740.0,1860.0
228	4290.0	3051712026	2	5740.0,2840.0
949	4880.0	4186288494	2	5220.0,4540.0
96	5270.0	1970391680	2	8040.0,2500.0
455	5470.0	2348662872	2	7900.0,3040.0
418	5870.0	1105738420	2	6580.0,5160.0
916	6140.0	2190477023	2	8960.0,3320.0
273	6410.0	710087070	2	6540.0,6280.0
484	6410.0	3672562773	2	8200.0,4620.0
148	6600.0	144009009	2	9760.0,3440.0
507	6670.0	3233267266	2	10440.0,2900.0
793	6700.0	4197363500	2	7820.0,5580.0
515	6710.0	2437809934	2	7140.0,6280.0
625	6730.0	2158672709	2	7100.0,6360.0
193	6770.0	3305672700	2	7680.0,5860.0
959	6770.0	153748779	2	9820.0,3720.0
152	6830.0	4151982731	2	12060.0,1600.0
69	6880.0	251658342	2	8820.0,4940.0
67	6910.0	1602295827	2	8040.0,5780.0
167	6920.0	896590594	2	9660.0,4180.0
821	6920.0	203749474	2	9480.0,4360.0
543	6990.0	1005369660	2	7420.0,6560.0
153	7110.0	2309623311	2	9860.0,4360.0
170	7200.0	816460568	2	2640.0,11760.0
883	7200.0	1707534564	2	8900.0,5500.0
901	7210.0	3503888624	2	9740.0,4680.0
181	7280.0	1885062327	2	7800.0,6760.0
120	7290.0	3327005056	2	7740.0,6840.0
741	7310.0	4204497867	2	8340.0,6280.0
416	7320.0	3789252366	2	11240.0,3400.0
138	7460.0	2320426387	2	10360.0,4560.0
137	7520.0	1109959200	2	12060.0,2980.0
953	7520.0	38576792	2	8640.0,6400.0
180	7670.0	2981515579	2	9160.0,6180.0
544	7780.0	1613844212	2	8960.0,6600.0
867	7780.0	3137829774	2	7980.0,7580.0
613	7820.0	3421157470	2	2540.0,13100.0
774	7830.0	1850410956	2	9940.0,5720.0
395	7850.0	3830919256	2	5320.0,10380.0
394	7860.0	4252873797	2	8400.0,7320.0
709	7870.0	2153964309	2	8760.0,6980.0
330	7890.0	3222932945	2	8140.0,7640.0
357	8000.0	597750311	2	9260.0,6740.0
388	8000.0	500314882	2	10360.0,5640.0
210	8030.0	4155058120	2	7980.0,8080.0
649	8110.0	3814531563	2	9680.0,6540.0
17	8170.0	1311171239	2	8900.0,7440.0
859	8170.0	4185924011	2	11300.0,5040.0
364	8200.0	3875513869	2	11140.0,5260.0
630	8220.0	3516374670	2	9420.0,7020.0
105	8250.0	757783737	2	11420.0,5080.0
556	8300.0	355234454	2	11880.0,4720.0
621	8350.0	2849426586	2	13480.0,3220.0
873	8380.0	4126733209	2	14620.0,2140.0
403	8390.0	1047614498	2	12100.0,4680.0
739	8420.0	3106208201	2	7060.0,9780.0
964	8420.0	1288293484	2	8900.0,7940.0
256	8470.0	2561565076	2	16780.0,160.0
115	8480.0	591106283	2	12400.0,4560.0
533	8500.0	1901983253	2	5860.0,11140.0
582	8500.0	538080877	2	9120.0,7880.0
185	8510.0	2038401952	2	5320.0,11700.0
439	8570.0	771775820	2	11820.0,5320.0
16	8590.0	226784384	2	7060.0,10120.0
977	8600.0	1165643264	2	11720.0,5480.0
952	8610.0	4148955598	2	8900.0,8320.0
876	8620.0	2758298356	2	12660.0,4580.0
908	8630.0	3177998441	2	11620.0,5640.0
869	8650.0	114741743	2	9640.0,7660.0
363	8660.0	1364299419	2	12880.0,4440.0
943	8660.0	2290689013	2	10560.0,6760.0
955	8700.0	1787635831	2	10900.0,6500.0
493	8710.0	655331793	2	10460.0,6960.0
107	8720.0	2757322042	2	12980.0,4460.0
253	8720.0	2561758786	2	5060.0,12380.0
356	8730.0	4025454312	2	9960.0,7500.0
118	8750.0	1977900881	2	10220.0,7280.0
577	8750.0	2330812152	2	10980.0,6520.0
499	8760.0	2492990771	2	9860.0,7660.0
919	8780.0	3160563063	2	7500.0,10060.0
33	8790.0	3092591086	2	9360.0,8220.0
281	8790.0	1863667372	2	13680.0,3900.0
717	8840.0	1480266089	2	9200.0,8480.0
451	8850.0	3066003339	2	10180.0,7520.0
68	8860.0	1362347682	2	11640.0,6080.0
819	8870.0	1037291864	2	12260.0,5480.0
47	8900.0	2490613268	2	9800.0,8000.0
251	8910.0	1259113582	2	12920.0,4900.0
571	8910.0	2549547001	2	15020.0,2800.0
742	8950.0	3399751181	2	7620.0,10280.0
914	8970.0	2453643604	2	10020.0,7920.0
112	8980.0	1630104024	2	9340.0,8620.0
684	9010.0	98523945	2	4360.0,13660.0
423	9060.0	1782109210	2	8620.0,9500.0
182	9080.0	3794999566	2	13140.0,5020.0
244	9120.0	1541175072	2	11120.0,7120.0
249	9140.0	3132356109	2	13220.0,5060.0
219	9150.0	1185279892	2	12900.0,5400.0
149	9180.0	1766395589	2	15280.0,3080.0
56	9190.0	597135452	2	11020.0,7360.0
199	9210.0	576775683	2	9680.0,8740.0
487	9260.0	3554253652	2	6720.0,11800.0
370	9280.0	3207791643	2	12360.0,6200.0
316	9290.0	2708328980	2	10180.0,8400.0
711	9300.0	101446613	2	12500.0,6100.0
102	9350.0	1522302157	2	16700.0,2000.0
906	9370.0	2747458873	2	5000.0,13740.0
761	9380.0	1614571593	2	12580.0,6180.0
186	9410.0	1919340118	2	12140.0,6680.0
632	9410.0	310553023	2	9780.0,9040.0
697	9410.0	1019293807	2	12460.0,6360.0
337	9420.0	3020804850	2	12680.0,6160.0
610	9440.0	2410762322	2	11420.0,7460.0
654	9440.0	3462276060	2	11020.0,7860.0
662	9480.0	3110574874	2	9900.0,9060.0
338	9500.0	2736653999	2	11820.0,7180.0
292	9510.0	1080321480	2	13980.0,5040.0
809	9520.0	1170793946	2	11480.0,7560.0
37	9550.0	2768917700	2	10420.0,8680.0
922	9550.0	429171596	2	11480.0,7620.0
71	9570.0	3233060546	2	10420.0,8720.0
679	9590.0	1962348736	2	4800.0,14380.0
158	9600.0	2799107095	2	10200.0,9000.0
383	9640.0	1187505031	2	13260.0,6020.0
386	9650.0	674648691	2	12620.0,6680.0
279	9660.0	2548316465	2	7380.0,11940.0
799	9660.0	207570973	2	11440.0,7880.0
