# time already scaled back by lambda=20.
rep	mean_root_age	sample_seed	num_roots	root_ages
133	1520.0	2658158235	1	-
846	1520.0	3297720182	1	-
745	1560.0	3259707896	1	-
399	1580.0	2917008951	1	-
698	1580.0	3955283574	1	-
906	1600.0	2747458873	1	-
22	1620.0	3534643251	1	-
69	1620.0	251658342	1	-
95	1620.0	3837298989	1	-
189	1620.0	641410066	1	-
297	1620.0	3746741781	1	-
800	1620.0	248523563	1	-
252	1640.0	1189573419	1	-
85	1660.0	1902985023	1	-
801	1660.0	2040141493	1	-
992	1660.0	952326319	1	-
101	1680.0	209456748	1	-
172	1700.0	2398845104	1	-
304	1700.0	1119009426	1	-
442	1700.0	2829772872	1	-
677	1700.0	1377307149	1	-
969	1700.0	4070546308	1	-
35	1720.0	3934358551	1	-
119	1720.0	1729274620	1	-
279	1740.0	2548316465	1	-
440	1740.0	2255347151	1	-
647	1740.0	3784323778	1	-
159	1760.0	4004852539	1	-
249	1760.0	3132356109	1	-
278	1760.0	1095357447	1	-
452	1760.0	650205226	1	-
455	1760.0	2348662872	1	-
688	1760.0	2091898639	1	-
953	1760.0	38576792	1	-
140	1780.0	3673882554	1	-
247	1780.0	3926815298	1	-
432	1780.0	2328677118	1	-
571	1780.0	2549547001	1	-
756	1780.0	2197990845	1	-
19	1800.0	3948765716	1	-
20	1800.0	1857481500	1	-
32	1800.0	1633765778	1	-
36	1800.0	1771225731	1	-
185	1800.0	2038401952	1	-
282	1800.0	3586142404	1	-
367	1800.0	1940202118	1	-
435	1800.0	854192663	1	-
554	1800.0	153696441	1	-
575	1800.0	4107449965	1	-
622	1800.0	2444160877	1	-
722	1800.0	3720299339	1	-
822	1800.0	1060447245	1	-
109	1820.0	2563878099	1	-
122	1820.0	3949094064	1	-
174	1820.0	3148071056	1	-
251	1820.0	1259113582	1	-
276	1820.0	1727973833	1	-
286	1820.0	2376536712	1	-
444	1820.0	600527235	1	-
491	1820.0	4129751070	1	-
617	1820.0	1539294269	1	-
631	1820.0	3396899816	1	-
632	1820.0	310553023	1	-
787	1820.0	3638488835	1	-
797	1820.0	343586636	1	-
875	1820.0	3967244507	1	-
889	1820.0	4047515275	1	-
891	1820.0	988408309	1	-
944	1820.0	3397294332	1	-
31	1840.0	944477082	1	-
188	1840.0	2019247676	1	-
214	1840.0	3686384593	1	-
335	1840.0	3629961422	1	-
533	1840.0	1901983253	1	-
574	1840.0	497139702	1	-
604	1840.0	949825850	1	-
845	1840.0	4273816288	1	-
876	1840.0	2758298356	1	-
899	1840.0	701990113	1	-
914	1840.0	2453643604	1	-
920	1840.0	565762708	1	-
927	1840.0	143455645	1	-
92	1860.0	1534561344	1	-
105	1860.0	757783737	1	-
138	1860.0	2320426387	1	-
197	1860.0	1991848814	1	-
217	1860.0	1623918802	1	-
260	1860.0	2332172728	1	-
430	1860.0	558875740	1	-
589	1860.0	1742031256	1	-
802	1860.0	2251079782	1	-
976	1860.0	2224453902	1	-
25	1880.0	4264910358	1	-
256	1880.0	2561565076	1	-
363	1880.0	1364299419	1	-
394	1880.0	4252873797	1	-
463	1880.0	1459518628	1	-
502	1880.0	3709688611	1	-
543	1880.0	1005369660	1	-
593	1880.0	2557811465	1	-
660	1880.0	63697076	1	-
717	1880.0	1480266089	1	-
760	1880.0	3520910032	1	-
776	1880.0	3945064247	1	-
884	1880.0	1462497098	1	-
910	1880.0	2952730298	1	-
56	1900.0	597135452	1	-
142	1900.0	939043870	1	-
175	1900.0	3762522442	1	-
246	1900.0	2958182424	1	-
330	1900.0	3222932945	1	-
338	1900.0	2736653999	1	-
344	1900.0	1174677891	1	-
411	1900.0	4236213441	1	-
448	1900.0	330594823	1	-
474	1900.0	2600961676	1	-
509	1900.0	463360440	1	-
633	1900.0	4281214022	1	-
634	1900.0	2665171164	1	-
637	1900.0	4078212454	1	-
685	1900.0	681645720	1	-
713	1900.0	3493337456	1	-
723	1900.0	1893443434	1	-
724	1900.0	3850389515	1	-
907	1900.0	2582362730	1	-
940	1900.0	3005742434	1	-
18	1920.0	68237344	1	-
38	1920.0	3310813615	1	-
203	1920.0	2035287098	1	-
233	1920.0	312734638	1	-
346	1920.0	2564879826	1	-
383	1920.0	1187505031	1	-
409	1920.0	2362168340	1	-
483	1920.0	3503113142	1	-
530	1920.0	925332564	1	-
564	1920.0	2124817559	1	-
743	1920.0	2004710925	1	-
773	1920.0	1364345034	1	-
834	1920.0	95750845	1	-
870	1920.0	90769735	1	-
903	1920.0	4170418756	1	-
941	1920.0	2543322296	1	-
135	1940.0	3442610362	1	-
191	1940.0	207740920	1	-
271	1940.0	2101700623	1	-
329	1940.0	3608263850	1	-
331	1940.0	4013627397	1	-
461	1940.0	499360751	1	-
528	1940.0	4074771858	1	-
531	1940.0	1505481550	1	-
625	1940.0	2158672709	1	-
772	1940.0	3560638120	1	-
887	1940.0	831868098	1	-
917	1940.0	4079592758	1	-
984	1940.0	1924235745	1	-
993	1940.0	76802145	1	-
11	1960.0	3841089934	1	-
27	1960.0	196857540	1	-
66	1960.0	1671309889	1	-
201	1960.0	2348883638	1	-
205	1960.0	4082610661	1	-
212	1960.0	651284869	1	-
281	1960.0	1863667372	1	-
340	1960.0	4132318950	1	-
420	1960.0	627442889	1	-
431	1960.0	4223060618	1	-
469	1960.0	1498093029	1	-
481	1960.0	1420561078	1	-
519	1960.0	1288533500	1	-
578	1960.0	1093491891	1	-
591	1960.0	3252948754	1	-
621	1960.0	2849426586	1	-
627	1960.0	3983068018	1	-
