# time already scaled back by lambda=20.
rep	mean_root_age	sample_seed	num_roots	root_ages
857	6320.0	2808658467	1	-
59	7300.0	1370901915	2	540.0,14060.0
886	7820.0	1496631950	1	-
228	8320.0	3051712026	2	10520.0,6120.0
103	9400.0	1399344681	1	-
561	9400.0	3677500960	1	-
356	9820.0	4025454312	1	-
884	10040.0	1462497098	1	-
638	10220.0	1119926174	1	-
133	10700.0	2658158235	1	-
582	10860.0	538080877	1	-
684	10860.0	98523945	1	-
54	11020.0	817202322	1	-
272	11030.0	3045478260	2	720.0,21340.0
291	11100.0	3930472378	1	-
808	11200.0	1684785607	1	-
331	11700.0	4013627397	1	-
75	11720.0	1610932430	1	-
788	11920.0	3269869258	1	-
809	12100.0	1170793946	1	-
189	12200.0	641410066	1	-
388	12220.0	500314882	1	-
408	12280.0	394349204	1	-
361	12460.0	2131808105	1	-
162	12500.0	3976816967	1	-
653	12520.0	1609302663	1	-
426	12540.0	1102096036	1	-
612	12640.0	3274110330	1	-
930	12760.0	3703122680	1	-
629	12780.0	1037509349	1	-
195	12860.0	162804534	1	-
212	13140.0	651284869	1	-
46	13180.0	326731778	1	-
167	13300.0	896590594	1	-
693	13460.0	3225450190	1	-
685	13500.0	681645720	1	-
621	13520.0	2849426586	1	-
134	13560.0	3713769341	1	-
592	13670.0	3733636413	2	12140.0,15200.0
31	13720.0	944477082	1	-
317	13860.0	4155277844	1	-
986	13860.0	1436810179	1	-
357	14080.0	597750311	1	-
211	14240.0	1904635476	1	-
586	14360.0	245929203	1	-
240	14400.0	2325763123	1	-
40	14480.0	867799189	1	-
450	14500.0	3414588663	1	-
611	14500.0	4079667683	1	-
236	14550.0	1936118936	2	17620.0,11480.0
435	14560.0	854192663	1	-
1	14660.0	3514513800	1	-
207	14660.0	315723659	1	-
252	14660.0	1189573419	1	-
444	14820.0	600527235	2	16640.0,13000.0
227	14920.0	1880802854	1	-
234	15100.0	3662499525	1	-
973	15120.0	281708322	1	-
469	15160.0	1498093029	1	-
993	15160.0	76802145	1	-
614	15320.0	3947967244	1	-
841	15340.0	3965569202	1	-
770	15360.0	3607506729	1	-
785	15360.0	2665069197	1	-
101	15440.0	209456748	1	-
500	15480.0	4131837447	1	-
913	15520.0	1234670100	1	-
862	15640.0	2118163021	1	-
802	15660.0	2251079782	1	-
258	15700.0	557751872	1	-
733	15780.0	2902478857	1	-
975	15800.0	1531116204	1	-
37	15860.0	2768917700	1	-
478	15880.0	1311602633	1	-
539	15900.0	2874996911	1	-
181	15960.0	1885062327	1	-
569	15980.0	3517344829	2	15980.0
760	16020.0	3520910032	1	-
390	16160.0	4284452142	2	16160.0
260	16300.0	2332172728	1	-
277	16380.0	1527011277	1	-
718	16560.0	645386973	1	-
951	16620.0	2437536083	1	-
122	16640.0	3949094064	1	-
471	16640.0	294025575	1	-
454	16720.0	2660972935	1	-
136	16840.0	3367927276	1	-
577	16840.0	2330812152	1	-
241	16880.0	1520277373	1	-
232	16900.0	843504178	1	-
915	16920.0	1651423045	1	-
313	16940.0	1839296569	1	-
238	17060.0	168415926	1	-
948	17060.0	3799397486	1	-
622	17100.0	2444160877	1	-
273	17260.0	710087070	1	-
954	17280.0	1349627253	1	-
334	17360.0	1243695394	1	-
743	17360.0	2004710925	1	-
878	17440.0	874748172	1	-
543	17480.0	1005369660	1	-
511	17520.0	2878490974	1	-
542	17660.0	1591002318	1	-
868	17680.0	4219154130	1	-
967	17720.0	1745261605	1	-
933	17760.0	4041220671	1	-
83	17780.0	2822171671	1	-
4	17980.0	502759261	1	-
270	18060.0	60369706	1	-
559	18060.0	3748354875	1	-
687	18120.0	3450853393	1	-
305	18140.0	1645294096	1	-
730	18220.0	792734330	1	-
772	18280.0	3560638120	1	-
309	18320.0	2101737158	1	-
515	18360.0	2437809934	1	-
516	18400.0	2752924031	1	-
517	18480.0	3827724709	1	-
633	18480.0	4281214022	1	-
609	18620.0	3025562477	1	-
221	18740.0	4255021154	1	-
8	18800.0	2926501732	1	-
758	18860.0	1638806054	1	-
507	19000.0	3233267266	1	-
723	19080.0	1893443434	1	-
845	19080.0	4273816288	1	-
642	19120.0	1791304737	1	-
126	19140.0	2965457391	1	-
25	19200.0	4264910358	1	-
14	19220.0	2077168999	1	-
86	19260.0	1931986943	2	38380.0,140.0
174	19280.0	3148071056	1	-
312	19320.0	819005019	1	-
463	19360.0	1459518628	1	-
329	19400.0	3608263850	1	-
763	19400.0	4162228024	1	-
348	19440.0	2867566006	1	-
447	19440.0	1101454715	1	-
645	19440.0	3517852775	1	-
190	19480.0	1983935815	1	-
916	19480.0	2190477023	1	-
798	19500.0	1246364885	1	-
117	19560.0	1755702325	1	-
661	19580.0	3410340955	1	-
721	19600.0	3297332791	1	-
74	19660.0	1780771753	2	28560.0,10760.0
286	19700.0	2376536712	1	-
739	19860.0	3106208201	1	-
805	19920.0	3978902754	1	-
872	19920.0	2341124932	1	-
793	20000.0	4197363500	1	-
45	20040.0	2907606958	1	-
795	20040.0	3497159815	1	-
800	20040.0	248523563	1	-
472	20120.0	2347546591	1	-
502	20160.0	3709688611	1	-
690	20160.0	696358354	1	-
562	20180.0	2579765317	1	-
630	20180.0	3516374670	1	-
321	20200.0	2091282884	1	-
656	20260.0	4034310621	1	-
0	20300.0	123	1	-
255	20380.0	1037655954	1	-
663	20520.0	2826003682	1	-
773	20520.0	1364345034	1	-
140	20540.0	3673882554	1	-
281	20560.0	1863667372	1	-
327	20560.0	3725587295	1	-
455	20560.0	2348662872	1	-
61	20580.0	3780915845	1	-
972	20600.0	1458847077	1	-
571	20620.0	2549547001	1	-
938	20620.0	1118237516	1	-
262	20680.0	1503187810	1	-
308	20680.0	1957342643	1	-
651	20680.0	2069564012	1	-
846	20680.0	3297720182	1	-
422	20700.0	460849464	1	-
801	20740.0	2040141493	1	-
441	20780.0	1970589605	1	-
734	20820.0	1550908162	1	-
213	20960.0	56969568	1	-
470	21040.0	2200588765	1	-
556	21040.0	355234454	1	-
264	21080.0	2397952862	1	-
116	21100.0	1255086854	1	-
711	21140.0	101446613	1	-
514	21160.0	41543406	1	-
597	21220.0	3621001614	1	-
442	21240.0	2829772872	1	-
565	21260.0	3376763995	1	-
141	21280.0	506574785	1	-
400	21280.0	1872590332	1	-
776	21300.0	3945064247	1	-
29	21320.0	750771675	1	-
52	21340.0	396697160	1	-
443	21440.0	413525338	1	-
446	21520.0	593479021	1	-
163	21540.0	295199772	1	-
276	21540.0	1727973833	1	-
107	21640.0	2757322042	1	-
64	21660.0	3672053368	1	-
584	21660.0	3790479061	1	-
824	21700.0	408127586	1	-
944	21700.0	3397294332	1	-
998	21700.0	3346587309	1	-
288	21740.0	1796160306	1	-
812	21800.0	2334815500	1	-
767	21820.0	3444136885	1	-
382	21840.0	2886066946	1	-
459	21840.0	610231999	1	-
625	21900.0	2158672709	1	-
806	21900.0	346820218	1	-
906	21900.0	2747458873	1	-
385	21920.0	1722402420	1	-
854	21920.0	1988699096	1	-
175	21940.0	3762522442	1	-
984	21960.0	1924235745	1	-
245	21980.0	3211982969	1	-
114	22040.0	2795127564	1	-
637	22040.0	4078212454	1	-
863	22060.0	2330185052	1	-
296	22120.0	3180989695	1	-
667	22160.0	975733941	1	-
82	22200.0	3652488719	1	-
779	22200.0	1339247412	1	-
311	22240.0	3401737509	1	-
764	22240.0	2448521774	1	-
858	22260.0	1731347320	1	-
384	22360.0	1223957809	1	-
5	22400.0	897264318	1	-
568	22440.0	4266506866	1	-
76	22500.0	1124404892	1	-
129	22540.0	3938671780	1	-
250	22540.0	3642250478	1	-
518	22540.0	3581447288	1	-
351	22620.0	3122930545	1	-
99	22760.0	18073728	1	-
908	22760.0	3177998441	1	-
391	22800.0	385035847	1	-
578	22800.0	1093491891	1	-
226	22820.0	1089685084	1	-
26	22840.0	963456930	1	-
92	22840.0	1534561344	1	-
112	22980.0	1630104024	1	-
137	23000.0	1109959200	1	-
404	23000.0	423973276	1	-
893	23100.0	3191826967	1	-
81	23220.0	2746082846	1	-
342	23280.0	2866803286	1	-
84	23300.0	890249236	1	-
160	23320.0	3277289948	1	-
335	23340.0	3629961422	1	-
412	23380.0	49422260	1	-
590	23400.0	1895337096	1	-
696	23400.0	3289354956	1	-
722	23460.0	3720299339	1	-
962	23460.0	121747556	1	-
267	23480.0	4172319599	1	-
302	23500.0	3943991614	1	-
959	23500.0	153748779	1	-
206	23660.0	3757813479	1	-
819	23660.0	1037291864	1	-
405	23800.0	350099983	1	-
259	23820.0	4109995702	1	-
836	23840.0	1257951952	1	-
563	23880.0	1581376633	1	-
815	23880.0	2044333302	1	-
451	23900.0	3066003339	1	-
78	23980.0	2997527575	1	-
208	24020.0	3511399985	1	-
467	24020.0	2628237647	1	-
755	24020.0	2659804881	1	-
856	24060.0	175531718	1	-
402	24120.0	735669597	1	-
922	24240.0	429171596	1	-
783	24260.0	1411694742	1	-
345	24380.0	3829305829	1	-
216	24400.0	1327956293	1	-
481	24400.0	1420561078	1	-
877	24440.0	2740280441	1	-
169	24480.0	3454218369	1	-
339	24480.0	2896190417	1	-
706	24480.0	3352579331	1	-
662	24640.0	3110574874	1	-
771	24640.0	3829052378	1	-
551	24700.0	471678127	1	-
235	24720.0	4219668408	1	-
747	24740.0	3938829460	1	-
912	24740.0	1629234321	1	-
498	24760.0	4010399501	1	-
347	24780.0	4172464376	1	-
520	24840.0	893107047	1	-
200	24900.0	2610880843	1	-
289	24920.0	99783900	1	-
602	24920.0	2321809062	1	-
903	24960.0	4170418756	1	-
127	24980.0	2160204983	1	-
269	24980.0	2149989086	1	-
650	25020.0	933245646	1	-
307	25060.0	3400441450	1	-
505	25060.0	2042588328	1	-
22	25120.0	3534643251	1	-
666	25120.0	2747110052	2	36080.0,14160.0
675	25120.0	3962487418	1	-
707	25120.0	856406071	1	-
896	25160.0	3710784470	1	-
156	25280.0	2702181143	1	-
541	25340.0	890887032	1	-
506	25400.0	178191306	1	-
677	25400.0	1377307149	1	-
197	25420.0	1991848814	1	-
183	25440.0	1426982176	1	-
843	25440.0	3022002362	1	-
874	25520.0	3592233860	1	-
319	25540.0	2933208554	1	-
417	25600.0	4082388223	1	-
680	25600.0	2625420870	1	-
724	25640.0	3850389515	1	-
752	25760.0	3087147300	1	-
202	25780.0	1208614574	1	-
555	25840.0	3722556268	1	-
418	25860.0	1105738420	1	-
831	25920.0	2062791627	1	-
254	25940.0	3318566024	1	-
323	25960.0	659936822	1	-
997	25960.0	2034117839	1	-
825	26100.0	2084339120	1	-
587	26120.0	1768316298	1	-
157	26140.0	17097941	1	-
493	26220.0	655331793	1	-
231	26260.0	3080355903	1	-
303	26280.0	1475334540	1	-
47	26300.0	2490613268	1	-
689	26320.0	655360436	1	-
735	26340.0	156263800	1	-
789	26440.0	1385263311	1	-
890	26500.0	984016794	1	-
885	26600.0	147935190	1	-
306	26620.0	1154854483	1	-
550	26620.0	3721555281	1	-
920	26720.0	565762708	1	-
519	26740.0	1288533500	1	-
924	26760.0	1798710532	1	-
178	26960.0	1938613734	1	-
552	27080.0	2348813732	1	-
538	27140.0	217089911	1	-
440	27160.0	2255347151	1	-
341	27280.0	3454626158	1	-
835	27320.0	4289272865	1	-
898	27400.0	826715194	1	-
229	27440.0	4065342841	1	-
406	27460.0	1825144073	1	-
957	27480.0	3416228619	1	-
599	27580.0	189358393	1	-
741	27580.0	4204497867	1	-
748	27600.0	3304357559	1	-
947	27640.0	4129723849	1	-
304	27760.0	1119009426	1	-
491	27900.0	4129751070	1	-
594	27900.0	92395754	1	-
866	27960.0	3646918433	1	-
32	28040.0	1633765778	1	-
326	28060.0	4159237824	1	-
964	28080.0	1288293484	1	-
509	28160.0	463360440	1	-
674	28160.0	1473533100	1	-
