# time already scaled back by lambda=20.
rep	mean_root_age	sample_seed	num_roots	root_ages
227	243.33333333333334	1880802854	9	60.0,100.0,80.0,360.0,560.0,300.0
319	253.33333333333334	2933208554	13	20.0,80.0,660.0
825	264.0	2084339120	11	80.0,840.0,20.0,120.0,260.0
835	280.0	4289272865	10	40.0,80.0,320.0,860.0,100.0
63	290.0	6219533	9	140.0,100.0,780.0,140.0
168	290.0	908634144	12	760.0,80.0,120.0,200.0
753	293.3333333333333	283401357	12	60.0,760.0,60.0
213	300.0	56969568	10	20.0,220.0,760.0,340.0,160.0
229	313.3333333333333	4065342841	9	20.0,760.0,160.0
143	320.0	4030829930	14	220.0,60.0,820.0,180.0
196	320.0	3512366085	10	40.0,220.0,560.0,760.0,20.0
207	320.0	315723659	9	140.0,840.0,220.0,80.0
296	320.0	3180989695	10	100.0,300.0,100.0,780.0
752	320.0	3087147300	12	300.0,100.0,840.0,40.0
5	326.6666666666667	897264318	9	20.0,740.0,220.0
246	330.0	2958182424	12	240.0,240.0,40.0,800.0
568	332.0	4266506866	9	20.0,300.0,920.0,380.0,40.0
313	340.0	1839296569	11	140.0,20.0,400.0,800.0
323	346.6666666666667	659936822	9	100.0,20.0,1000.0,60.0,880.0,20.0
342	346.6666666666667	2866803286	10	100.0,900.0,40.0
436	350.0	4177186822	11	280.0,880.0,180.0,60.0
526	350.0	2048888953	14	20.0,680.0
557	350.0	640693587	9	840.0,60.0,200.0,300.0
666	350.0	2747110052	13	20.0,760.0,260.0,360.0
199	353.3333333333333	576775683	12	160.0,740.0,160.0
723	355.0	1893443434	10	80.0,300.0,960.0,80.0
86	356.0	1931986943	8	80.0,80.0,880.0,100.0,640.0
440	356.0	2255347151	12	480.0,920.0,200.0,80.0,100.0
182	360.0	3794999566	10	260.0,760.0,180.0,400.0,200.0
817	360.0	954464899	9	140.0,820.0,120.0
594	365.0	92395754	10	780.0,300.0,240.0,140.0
738	366.6666666666667	3367609074	10	60.0,940.0,100.0
929	366.6666666666667	658741046	11	160.0,80.0,860.0
677	370.0	1377307149	8	120.0,620.0
844	370.0	2411120875	11	800.0,120.0,380.0,160.0,580.0,180.0
559	375.0	3748354875	14	180.0,300.0,960.0,60.0
512	376.0	933191273	8	860.0,240.0,520.0,40.0,220.0
245	380.0	3211982969	11	820.0,100.0,60.0,540.0
305	382.85714285714283	1645294096	9	300.0,60.0,20.0,740.0,20.0,620.0,920.0
529	385.0	2146995440	12	60.0,1280.0,140.0,60.0
275	386.6666666666667	1071179436	11	360.0,760.0,40.0
509	390.0	463360440	13	260.0,860.0,200.0,240.0
831	390.0	2062791627	7	20.0,760.0
384	393.3333333333333	1223957809	11	900.0,220.0,60.0
935	393.3333333333333	2679366780	10	300.0,20.0,860.0
461	400.0	499360751	7	500.0,100.0,180.0,760.0,460.0
675	404.0	3962487418	9	940.0,300.0,220.0,140.0,420.0
756	405.0	2197990845	9	1060.0,80.0,60.0,420.0
525	406.6666666666667	3287366645	12	40.0,180.0,600.0,100.0,780.0,740.0
645	406.6666666666667	3517852775	11	1120.0,60.0,40.0
8	410.0	2926501732	12	780.0,40.0
427	415.0	235228131	10	160.0,20.0,480.0,1000.0
120	420.0	3327005056	10	220.0,620.0
124	420.0	3095259867	13	360.0,100.0,1180.0,40.0
664	420.0	3994019123	11	120.0,240.0,900.0
802	420.0	2251079782	12	140.0,340.0,180.0,1020.0
788	424.0	3269869258	10	80.0,100.0,220.0,960.0,760.0
307	425.0	3400441450	9	80.0,900.0,40.0,680.0
413	430.0	3083285110	8	40.0,480.0,920.0,280.0
785	430.0	2665069197	8	800.0,60.0
911	430.0	2912341494	8	760.0,100.0
599	432.0	189358393	11	900.0,200.0,20.0,60.0,980.0
203	433.3333333333333	2035287098	11	800.0,400.0,100.0
104	435.0	1712613135	11	140.0,160.0,360.0,1080.0
254	435.0	3318566024	10	1020.0,20.0,460.0,240.0
274	440.0	13722305	16	20.0,240.0,1000.0,500.0
353	440.0	3402842862	11	40.0,80.0,1060.0,580.0
884	440.0	1462497098	11	360.0,820.0,160.0,680.0,400.0,220.0
912	440.0	1629234321	9	100.0,1020.0,200.0
942	440.0	996015235	9	1060.0,160.0,580.0,260.0,140.0
235	444.0	4219668408	10	340.0,40.0,1500.0,160.0,180.0
535	445.0	3876865281	14	80.0,220.0,940.0,540.0
