# time already scaled back by lambda=20.
rep	mean_root_age	sample_seed	num_roots	root_ages
859	2160.0	4185924011	1	-
192	2220.0	3262138074	1	-
634	2240.0	2665171164	1	-
489	2260.0	2878542479	1	-
332	2320.0	752086979	1	-
685	2340.0	681645720	1	-
401	2360.0	1634942724	1	-
310	2400.0	1769713057	1	-
889	2420.0	4047515275	1	-
603	2460.0	3920795649	1	-
832	2460.0	1295084709	1	-
673	2480.0	2178264310	1	-
693	2520.0	3225450190	1	-
121	2540.0	2689048880	1	-
18	2560.0	68237344	1	-
785	2560.0	2665069197	1	-
707	2580.0	856406071	1	-
670	2600.0	3918318172	1	-
764	2600.0	2448521774	1	-
780	2600.0	235816289	1	-
486	2620.0	3120141564	1	-
91	2640.0	528692389	1	-
408	2640.0	394349204	1	-
494	2640.0	1130060902	1	-
4	2660.0	502759261	1	-
35	2660.0	3934358551	1	-
745	2660.0	3259707896	1	-
208	2700.0	3511399985	1	-
173	2720.0	1576739630	1	-
406	2720.0	1825144073	1	-
615	2720.0	202112137	1	-
549	2740.0	885406431	1	-
608	2780.0	530532319	1	-
491	2800.0	4129751070	1	-
821	2800.0	203749474	1	-
822	2800.0	1060447245	1	-
20	2820.0	1857481500	1	-
250	2820.0	3642250478	1	-
829	2820.0	3047791116	1	-
989	2820.0	2075912941	1	-
510	2840.0	502755330	1	-
598	2840.0	2700144440	1	-
106	2860.0	1914863446	1	-
720	2860.0	4268651658	1	-
71	2880.0	3233060546	1	-
74	2880.0	1780771753	1	-
375	2880.0	3640285084	1	-
873	2880.0	4126733209	1	-
660	2900.0	63697076	1	-
909	2900.0	3533167518	1	-
415	2920.0	2243478633	1	-
653	2940.0	1609302663	1	-
704	2940.0	866730399	1	-
687	2960.0	3450853393	1	-
2	2980.0	1158178188	1	-
328	2980.0	948837706	1	-
605	2980.0	2382609685	1	-
717	2980.0	1480266089	1	-
24	3000.0	2153302430	1	-
438	3000.0	1082729183	1	-
902	3020.0	3238344451	1	-
182	3080.0	3794999566	1	-
260	3080.0	2332172728	1	-
280	3100.0	1181255339	1	-
684	3100.0	98523945	1	-
705	3120.0	2207590365	1	-
439	3140.0	771775820	1	-
476	3140.0	2103438352	1	-
567	3160.0	1129738032	1	-
759	3180.0	417200398	1	-
146	3200.0	731027087	1	-
340	3200.0	4132318950	1	-
969	3200.0	4070546308	1	-
668	3220.0	3197992237	1	-
845	3220.0	4273816288	1	-
152	3240.0	4151982731	1	-
566	3240.0	1301737904	1	-
586	3240.0	245929203	1	-
765	3240.0	2150199824	1	-
78	3260.0	2997527575	1	-
407	3260.0	4177181117	1	-
169	3280.0	3454218369	1	-
309	3280.0	2101737158	1	-
442	3280.0	2829772872	1	-
719	3280.0	724810246	1	-
857	3280.0	2808658467	1	-
196	3320.0	3512366085	1	-
514	3320.0	41543406	1	-
817	3340.0	954464899	1	-
83	3360.0	2822171671	1	-
233	3360.0	312734638	1	-
950	3360.0	1928104907	1	-
823	3380.0	1887769496	1	-
953	3380.0	38576792	1	-
128	3400.0	2574131465	1	-
679	3400.0	1962348736	1	-
659	3420.0	3896982202	1	-
905	3420.0	1470986857	1	-
336	3440.0	2016928045	1	-
298	3480.0	2833830006	1	-
109	3500.0	2563878099	1	-
156	3500.0	2702181143	1	-
163	3500.0	295199772	1	-
234	3500.0	3662499525	1	-
119	3520.0	1729274620	1	-
391	3520.0	385035847	1	-
564	3520.0	2124817559	1	-
737	3520.0	1739550502	1	-
884	3520.0	1462497098	1	-
0	3540.0	123	1	-
669	3560.0	2649427794	1	-
955	3560.0	1787635831	1	-
217	3580.0	1623918802	1	-
368	3580.0	220883141	1	-
610	3580.0	2410762322	1	-
947	3580.0	4129723849	1	-
95	3600.0	3837298989	1	-
678	3600.0	2336978692	1	-
626	3620.0	1226607765	1	-
945	3620.0	1023328720	1	-
271	3640.0	2101700623	1	-
585	3660.0	2309893824	1	-
103	3680.0	1399344681	1	-
179	3680.0	3272986685	1	-
997	3680.0	2034117839	1	-
64	3700.0	3672053368	1	-
145	3700.0	813400370	1	-
232	3720.0	843504178	1	-
239	3720.0	3314201446	1	-
725	3720.0	847323876	1	-
536	3740.0	1540501393	1	-
956	3740.0	2673516976	1	-
293	3760.0	3613848210	1	-
431	3760.0	4223060618	1	-
636	3760.0	550285563	1	-
718	3760.0	645386973	1	-
799	3760.0	207570973	1	-
220	3780.0	2236505696	1	-
830	3780.0	2852906488	1	-
908	3780.0	3177998441	1	-
609	3800.0	3025562477	1	-
881	3800.0	344261761	1	-
