rep	seed
0	420543633133
1	343565085084
2	118229352578
3	656994589456
4	170783341444
5	516861743864
6	123361983435
7	576267083290
8	206192754153
9	658490022308
10	272511521957
11	203361004541
12	109878772616
13	376993098487
14	111958596064
15	453821604663
16	158278381574
17	175107730441
18	301061997836
19	957352406152
20	198834550315
21	176244266165
22	117073476669
23	2491227646007
24	925734065148
25	156397662742
26	7627177847373
27	138853350157
28	982180978552
29	207062965589
30	393150766495
31	147776570605
32	111509830752
33	131597041108
34	138832572278
35	110177931734
36	107687793748
37	264786404375
38	111141282313
39	128389525213
40	308399746280
41	514850610096
42	100446723953
43	619976792371
44	141236109920
45	199394265662
46	106803309573
47	139601811464
48	950657753813
49	478000788952
50	178764108847
51	141757120930
52	1278222494146
53	195874989445
54	509690738763
55	364683027156
56	156592027265
57	223110808352
58	2508037480360
59	214017633795
60	1286065853211
61	2624646889621
62	624826551263
63	251362466491
64	145159468409
65	187016763004
66	145577427353
67	367030223324
68	214623379689
69	361591451208
70	222179831019
71	106943984888
72	1150327230788
73	220318306262
74	105750153330
75	116860758767
76	826607973987
77	7060198172581
78	426412300279
79	115431716061
80	228628760702
81	129946445749
82	114416144458
83	265298802202
84	105895429140
85	125235991563
86	119241620628
87	105635022562
88	170633403347
89	166899565938
90	313138749025
91	237438615650
92	110606454401
93	631066279631
94	119737647393
95	136622962915
96	203319339708
97	471410299755
98	835055979647
99	2067694465639
100	234727491205
101	306953859917
102	955458033004
103	233145706320
104	160475668804
105	161629145002
106	128205677670
107	204904962812
108	101056029081
109	108008754052
110	155720985176
111	133803513004
112	104540266513
113	193811273606
114	451675193318
115	333743085693
116	123432198514
117	15725681813810
118	356417601753
119	108793581357
120	272197801725
121	245548386928
122	114350675165
123	105013398258
124	100973403295
125	664873887941
126	182403087836
127	421702300196
128	129559601303
129	217976305072
130	136757263373
131	507214379795
132	211099392912
133	108248964766
134	116432658075
135	105730895214
136	250196194478
137	289593444432
138	497435298298
139	310551771775
140	297467295476
141	175227640709
142	228833215999
143	114365471270
144	155294497709
145	193072335614
146	111747566817
147	119160802565
148	156814808136
149	209939160844
150	236415309300
151	11066332726838
152	164419828639
153	107811317528
154	286772777680
155	395546547564
156	243145304227
157	405784592825
158	102210031535
159	212668709818
160	146553568872
161	124673231032
162	117583446522
163	361681926204
164	166039068825
165	141456773930
166	736126012202
167	131753393547
168	264764406757
169	634150907606
170	154865334512
171	157412737484
172	178213814219
173	491888323604
174	105189778502
175	110225369112
176	236295865940
177	155135858540
178	105906627277
179	132557501965
180	131449466515
181	2420216476008
182	104113472114
183	304998346640
184	136031779805
185	164035131331
186	177972300471
187	181078971724
188	142318426587
189	398586965492
190	204909471825
191	384813462811
192	139153352022
193	222294117596
194	154557175565
195	828359719133
196	2246327474989
197	110695061746
