rep	seed
0	2996945388075
1	5302584501244
2	8998904932367
3	5620424269427
4	7625284038080
5	7063792848329
6	1850875636679
7	6024277134436
8	4581246318986
9	5012033144382
10	1067606035035
11	3843511049660
12	3972221657414
13	7723773053117
14	8716225039738
15	7726628847244
16	1348671509826
17	8894771386783
18	4760259132432
19	4711993485941
20	5417423794664
21	5971480588576
22	6229334770431
23	4314397157031
24	6050608573040
25	1257396057246
26	6772366552832
27	2307653459785
28	4807428358603
29	4288363283419
30	6860379200487
31	4428593181155
32	3524187429649
33	7216263020660
34	5779017534184
35	6267241706168
36	9478638121157
37	3736729290448
38	3741675285856
39	5638105478762
40	7209069498173
41	1941022021335
42	1637151179091
43	6522759908078
44	6916612887027
45	5482703554836
46	1522709077807
47	9086629899055
48	8544550426252
49	9076921661116
50	1523133785459
51	1700675856590
52	5321467913621
53	2654149834582
54	1316832957192
55	2302726608497
56	4600218532092
57	3092524644898
58	6335985269480
59	2580060520683
60	2963962523064
61	1883912308562
62	4717641028845
63	3156933108795
64	4722479970598
65	1252960268898
66	4497676128217
67	8682928923064
68	4104222168364
69	1076617992300
70	3505669926888
71	7111861747130
72	2518695036991
73	7028844567708
74	4847220590743
75	3818520968720
76	4295464686131
77	2337006411692
78	3673313197932
79	4209070351229
80	9117227923543
81	9677942185994
82	6337158201190
83	8598078641531
84	4641881721460
85	6117605737247
86	4936864308176
87	5356703035016
88	9821282465539
89	8256412993569
90	4970264741508
91	3085577602440
92	1018581741234
93	1123842136568
94	9322529776410
95	1814955626386
96	6004744543685
97	6279126758872
98	4884865287352
99	9342312263750
100	7961092775041
101	2319232231487
102	5305355590152
103	7486778980444
104	4243314279176
105	1511842390920
106	9807496987974
107	6202727617360
108	1239460175937
109	4627252814251
110	1212934901456
111	4083756087733
112	4789020503889
113	5333527223530
114	4835296327989
115	3113261893121
116	8980820280912
117	8194673222181
118	4907696396605
119	5283609383667
120	5170853890414
121	3236799823075
122	4941534323504
123	2506767574477
124	9132486081261
125	5802851068068
126	1295482990150
127	5418345306724
128	8130036098157
129	2612155893205
130	8160316713315
131	5286005322309
132	1907824451161
133	6891559332610
134	7638120382421
135	1697197431475
136	3865622741848
137	2665918163825
138	7654743635770
139	5036704379614
140	2688233618004
141	3878038598002
142	5807247144992
143	7955900137154
144	6820075338031
145	3751297943038
146	7605636345836
147	9531382060224
148	3471283928324
149	9631272615136
150	4160984829898
151	3503585086251
152	8673238055074
153	3192825530541
154	5642871705832
155	6996379438263
156	3953179721435
157	9872809354723
158	6527245265686
159	7948060615346
160	7110281365751
161	5609759928988
162	8769029805543
163	6602137977761
164	3480961487163
165	4453436991473
166	9462080666492
167	7383256382537
168	9925993943301
169	1445691021260
170	1171514698664
171	9439645898038
172	6012123320079
173	2639567934525
174	4105835926183
175	3848798121556
176	9350608836603
177	9910737872903
178	9639252549145
179	7118930111762
180	6965285255791
181	3901189717767
182	7652257640112
183	3021164604113
184	9638951962521
185	2088403120287
186	5752460648419
187	2840314653118
188	9914971560558
189	9764449329928
190	5502286288132
191	6951121207844
192	4597418750208
193	5386770076837
194	7360466803908
195	7218794927725
196	6862525319688
197	3018121985926
198	4345677353819
199	2046856161377
200	3496202469517
201	5357339233089
202	5327519905510
203	5981374770750
204	1175176767536
205	1657409823960
206	1841678080172
207	8972631810951
208	9591768440264
209	1589398409863
210	1924218918326
211	2406415442670
212	5050822824921
213	3741197920014
214	6372449688006
215	4639780502765
216	6123919509952
217	3584698050884
218	1824890245174
219	5638988784579
220	6206822985024
221	9764775713558
222	4468320716334
223	3254144751706
224	6970696036251
225	6964557446472
226	7262639795517
227	3789964553979
228	8105389958591
229	1312779711947
230	8498420920184
231	9576925220758
232	7576386511516
233	2361134398011
234	3909554420094
235	7260771889219
236	7125580402337
237	4175971919234
238	4810782949691
239	8186199575048
240	8139545655512
241	2204791077693
242	4861973288409
243	4983662575361
244	7847804293349
245	4093655098996
246	5568338609173
247	6960282383705
248	8223759263492
249	5832543869326
250	4129223860084
251	3637382319105
252	5054056452301
253	5017611702222
254	2948246612456
255	9721482406840
256	1218389280748
257	9147278352549
258	7616220002780
259	8541200804000
260	3449953761474
261	5842541101054
262	3697368732810
263	2874339320985
264	4484501635338
265	7240204120973
266	7632787540321
267	3546271912240
268	4842024351270
269	8434762578470
270	5081157383700
271	8037731900920
272	6701732323998
273	2964363053073
274	4737919440826
275	9153110072237
276	4676505229179
277	4366142023350
278	1058919014399
279	6001147566272
280	6554365625169
281	3337015708021
282	5728028536585
283	7784349145659
284	8508411501021
285	3886837130821
286	7238256112525
287	4712048308681
288	5597928387656
289	7111695081195
290	1088101144629
291	3092179985829
292	7455733689703
293	9898467621517
294	8241036596883
295	6757849419166
296	9162118146253
297	5416236041017
298	2752805090084
299	3819772236578
300	1094877807850
301	7587775925684
302	5095349708282
303	4764362364031
304	7340074040432
305	3096736604035
306	6485072029596
307	3159427335900
308	3546109172186
309	1928410096307
310	6252893680225
311	1815940853880
312	8332632254054
313	3970429119554
314	7416894605144
315	6145348101847
316	5453356801689
317	5694789074760
318	8473080289381
319	5283701596598
320	3075220234499
321	3624431736032
322	7899670603035
323	3188811183595
324	6596146999804
325	6768446777481
326	3025940172160
327	7007797708195
328	6767663668469
329	7385068824985
330	2987498340380
331	4712214208127
332	7032676084579
333	6967633421330
334	5833839079085
335	6626163066127
336	3327229838555
337	4032019310988
338	9882546516745
339	6750812843923
340	1239202865430
341	2190732148100
342	2258645371709
343	1272931062504
344	3789243318874
345	9948871467771
346	9062093728609
347	7868375545351
348	6608687937857
349	9379408225868
350	9514652040027
351	3212595909766
352	3681619747606
353	5324787492699
354	2940196878542
355	1511337062008
356	4627648541907
357	9492011331603
358	7561850087378
359	8971026545938
360	6114196700679
361	4256788520553
362	8688172883888
363	1200298259179
364	3502214615307
365	9742892461838
366	6373955065115
367	6902972086407
368	8223563928102
369	6681267865540
370	5429005201317
371	3788116393666
372	5843252776126
373	4529193356458
374	7275799128693
375	4721167285760
376	2485608978640
377	7908473433400
378	5166800519612
379	7536475844109
380	2030353863981
381	9540920610838
382	4387931611866
383	7382669987767
384	1590284279002
385	8847656733716
386	8064054846174
387	5153722412419
388	5159195971168
389	7830243640649
390	4105293471410
391	7400758648775
392	9559770365333
393	7253828558444
394	4076478832644
395	6162221728898
396	6486028557106
397	3233983136388
398	9540678000273
399	9776880411726
400	9453879667755
401	1448987256747
402	6977114342304
403	5852049839165
404	8609825185761
405	4163150888495
406	4481631426458
407	5442944414279
408	5904461190090
409	6678186237804
410	8025155907239
411	3316037969032
412	1305826474387
413	9662746121676
414	9845756667841
415	4782372910444
416	7454794125341
417	1281990732937
418	2625067834950
419	1419200449338
420	9740027417190
421	4987927722944
422	9166514551764
423	5905620583579
424	2559853045568
425	4755049080939
426	6934101383397
427	1426176409891
428	8901562644883
429	3433118487890
430	3701823795833
431	3238689395063
432	2537760855189
433	5556624422670
434	5324261729855
435	2027615976460
436	8116876245376
437	3183329834913
438	1954978781116
439	1662436140329
440	5585696686025
441	1705329234184
442	1808132922551
443	6765746496551
444	6672674574655
445	8500717922602
446	2313823441164
447	9532677204134
448	6160296284862
449	6593197457008
450	8032344813058
451	7041637431649
452	2281498418819
453	8022959719943
454	7596318686310
455	4726676236460
456	8302088591310
457	8198013871816
458	7114608268707
459	8608136318242
460	9486033444337
461	4367141725382
462	7071139007007
463	7589634811653
464	8013909195830
465	5106924113323
466	8314305749742
467	9081015780489
468	2982741753181
469	3202477007734
470	7750591110317
471	9769713104009
472	2670991909664
473	8655204653802
474	1763506145217
475	8441021268060
476	2329956309599
477	2587371871027
478	7520192817356
479	3570561072445
480	6425762386401
481	8105879750615
482	3399370755296
483	6188651549537
484	4923003009244
485	5561904256610
486	8515490825005
487	8468277604246
488	8371647756278
489	8024091130726
490	7381531818238
491	6809680836965
492	4831000366437
493	7614818042749
494	5272562148216
495	9446033685143
496	2427627271243
497	1045184046684
498	9279336047194
