rep	seed
0	7335600790226
1	8475862714339
2	5908832383662
3	9586769358166
4	7323674336050
5	3557850200382
6	5266054577172
7	4742072028345
8	3350984661778
9	9508744453137
10	3811214642716
11	8587123044547
12	3060179678374
13	4176911848413
14	7929403740383
15	7339531802856
16	6600723027670
17	3381310989920
18	1230341595267
19	9117888249217
20	3837644612574
21	2003149726732
22	9256706902020
23	3301483924940
24	1321806126603
25	5737435488992
26	5299391096686
27	6909338199511
28	4370692761809
29	5583269882429
30	6462171982847
31	1858880979038
32	1079134717578
33	1853775629134
34	8282656758331
35	8214994346096
36	3117441354358
37	7352844555292
38	3265195473114
39	2503798040547
40	2254455504479
41	5015050453965
42	8371743513481
43	9383804164078
44	8869499216507
45	9904492842247
46	8852457288814
47	9382026615851
48	2589488666123
49	8648281443105
50	5750119102688
51	4557860198935
52	7743833184485
53	2153346851427
54	1218903447402
55	8281366921901
56	6638617082655
57	8838559043440
58	1325263175725
59	7544695853130
60	3086214277801
61	7209382191689
62	2467351472033
63	8191708891915
64	5584274241569
65	4108476279755
66	4581192885433
67	3282458302984
68	1251165106948
69	2813612380930
70	7402787857862
71	3449133560486
72	5431990321166
73	3447867243694
74	2032550782792
75	7865685392709
76	3575382498491
77	4143667275113
78	9483879164514
79	4485713028955
80	5585418151193
81	8092528106290
82	2778293337484
83	5088333052826
84	3791724337782
85	6474737555414
86	9553855381658
87	4369426087432
88	2357853318744
89	3308032741399
90	8942798849065
91	1894111165562
92	1492748853486
93	1952736559908
94	6021473691097
95	2160811394403
96	1373312451157
97	6629188824282
98	2853983307252
99	7962933928477
100	5459233988214
101	4261446619697
102	6190181032451
103	4876709082670
104	1082741152460
105	7055805279680
106	4993076690557
107	8369955331294
108	2919251789069
109	2249431424331
110	8927916788020
111	9215075596864
112	2110015236713
113	6563989115676
114	2379770726093
115	4981225653064
116	8690512124897
117	7757476464023
118	5342759253987
119	8695055705040
120	9111383019496
121	7673174153882
122	5509804561532
123	2411332406027
124	4850548200488
125	3583012997281
126	5150777874506
127	3312009293651
128	4773358697733
129	8976352338803
130	4218697996453
131	4889565780646
132	2547721415843
133	4348122970165
134	9517180937666
135	9974173402847
136	2231809579030
137	7246369588589
138	7669787868529
139	4763878095068
140	4424804750809
141	8160542044292
142	9123424827708
143	1219012367845
144	9035591060223
145	1925678646583
146	3791703454381
147	9774541591528
148	9232512483349
149	4494011669622
150	5338949857743
151	1966852459939
152	1462015753213
153	5912673911804
154	6714441097360
155	4729519578648
156	7210103783100
157	5656994128285
158	6179777154406
159	8332175580050
160	3648521739085
161	9827868145621
162	7147539738109
163	3225962420540
164	3882516637831
165	2691935899218
166	7110751023260
167	4912551813641
168	8245139732987
169	9908377106832
170	3829925668958
171	1075644514768
172	4924342582905
173	1158580020318
174	2379197223161
175	5715291887764
176	9310931269116
177	7011826020647
178	6077053280585
179	3043064919676
180	9058906480626
181	2952034424569
182	2619296289471
183	3491519927809
184	3968607548867
185	7303129937807
186	3590310645913
187	5505880264448
188	1068331866723
189	9497810592979
190	3482542263576
191	7747913473122
192	9489810193518
193	9548082011739
194	7978444982638
195	8968456519242
196	2966602195373
197	1538224183608
198	5529601932533
199	7761404391105
200	2042594669797
201	7917013274324
202	6787201016285
203	6395755308078
204	2397202803411
205	6065926043421
206	9994389756107
207	6124138355082
208	4865088657417
209	3850978100102
210	5501798721622
211	6558696446719
212	3405703453057
213	4668280535496
214	7193151397685
215	2064143037239
216	9791456905443
217	6730985608909
218	2688581674291
219	1249107193140
220	8535153351012
221	8011122089951
222	1426786720776
223	5000568636803
224	3163543693098
225	2746538099200
226	1763001612993
227	4587437707204
228	9268338658680
229	2935134903174
230	2322967561599
231	8670119372748
232	8471247297592
233	8447593090903
234	3812559871238
235	7868852151620
236	3698588200265
237	9593652133554
238	1738756540159
239	5245880473493
240	6408776206760
241	4596629319497
242	4488785972807
243	2918844973421
244	3700615170086
245	4080399675093
246	8543524822395
247	2657238021501
248	7862411626397
249	4104025439795
250	3815307810571
251	9898691027582
252	1528516239941
253	8714916438999
254	4689907601028
255	3891628270939
256	7461492468466
257	5106230277702
258	1030687794388
259	7889015889255
260	2994570713932
261	4294561124273
262	2075658558227
263	7665619818000
264	7784076549175
265	9746734740313
266	5186692960369
267	7595246902503
268	7120582154969
269	8846370349686
270	8065729703254
271	9689209741340
272	1963079378547
273	7489910815851
274	9900365219478
275	3357210446028
276	8719666327420
277	2895792266874
278	5853971562731
279	2737096942645
280	6764737972712
281	9803422343878
282	8174424655024
283	1775503666737
284	9034258908035
285	4475548273419
286	1252010423361
287	1216976527188
288	8281377368094
289	9636536662255
290	8688254080355
291	9481534188058
292	2884223562317
293	8072638903363
294	4231263565882
295	8144683713825
296	7744124274695
297	7473072825092
298	6402203818179
299	9103346902101
300	2465667537073
301	7724510052771
302	7017301570468
303	6841423724807
304	4721608720399
305	6251484162741
306	5630626108472
307	7891524336765
308	5428533639490
309	6688047996535
310	4019480230484
311	4771357751094
312	2186907564320
313	4285266471895
314	5573257001360
315	2682087509433
316	8644593736344
317	8617901565289
318	7972730310898
319	7455148375452
320	5223657163705
321	1668817612714
322	5904667585396
323	3896470461462
324	6981015283611
325	9241479972926
326	2794633517982
327	9465248401000
328	4343348303468
329	4865371191779
330	6398293063417
331	4871383095705
332	7424643394673
333	9252635639862
334	9425887200474
335	2328897610571
336	1951125633163
337	4353150102256
338	6446063547043
339	7605520249798
340	3339000451952
341	6859651304995
342	5524197195753
343	5160451780668
344	2531721107609
345	4401764239872
346	5163503769353
347	2413156548400
348	7938149483082
349	6903089335480
350	9044907658285
351	2671736271685
352	8430074133128
353	2015137724581
354	9498542764046
355	2529820830122
356	7105250788833
357	5648864424684
358	4900556241045
359	7282352741948
360	8660896646122
361	4444354956260
362	9754032730550
363	5481397264817
364	1890693524758
365	1444803818349
366	5350053562093
367	9708884068402
368	9913225948193
369	5596591570272
370	3416336770693
371	3912715189077
372	1292106611550
373	8929284181988
374	7470835624806
375	6921554919615
376	8645326798923
377	2654679293794
378	4936343329830
379	2283650896374
380	6954700711692
381	7404336978838
382	9594315352466
383	6807375431939
384	2584975069016
385	9195023077265
386	4203535097097
387	1223227747882
388	5894214864885
389	8719316436088
390	6714074927738
391	4028903230608
392	5096704942681
393	7711601584701
394	7088749506748
395	3181641130779
396	2537417529520
397	2190336893064
398	6605447913303
399	1935767720183
400	3947002155381
401	6384202886211
402	7025611804013
403	3686504072581
404	1347564296899
405	1990270357451
406	7250908751874
407	1666936276570
408	6268460850472
409	2005277456058
410	4945284575069
411	4802617491933
412	2815370906583
413	3512856416646
414	5001551792812
415	8200816400513
416	8619758916951
417	7662468651401
418	5268418617824
419	6909007337622
420	6024225677567
421	6298818368968
422	5253808312957
423	6247093036354
424	2854535397324
425	1190535957952
426	9832423257532
427	4084398154948
428	9069556371249
429	9437102565163
430	3440729564556
431	1774146755668
432	7537818089713
433	6718252210783
434	4347100882216
435	8372822829736
436	4360428028058
437	4227037551295
438	8998123794844
439	9195645710785
440	8223036077430
441	9101501592827
442	4515697383631
443	7426097882396
444	7783395105346
445	4881854567778
446	7985665859117
447	4175076680825
448	3209444220452
449	6285513654912
450	3592267976914
451	4243099620058
452	4155518674042
453	1551229374515
454	1604860181902
455	8221317268032
456	6164466520646
457	9208206572659
458	9448395204647
459	7468423312675
460	2346699772433
461	2128697616822
462	1162580518482
463	9341339868623
464	4883338679006
465	6303493774243
466	2149748815489
467	3711585435483
468	6455824618085
469	9881901020315
470	7878347318842
471	1770340234649
472	2597919042398
473	9109682868573
474	5006200662429
475	4944026342583
476	8157707078026
477	4180909069958
478	4277162178831
479	6178377554563
480	8363161666292
481	2712138832982
482	4260647215724
483	2337584549523
484	1465479266412
485	4144614749745
486	4731082082698
487	9998556002530
488	7453936723689
489	3149086034537
490	2097605256472
491	6576328497443
492	9186463976486
493	5463871859445
494	1679286277080
495	4037460658490
496	3964326147012
497	2099890459215
498	4246480765725
499	8238899306232
500	8038392538136
501	9030425618792
502	7928791362644
503	5327193598122
504	6615312281796
505	1648766180895
506	1391771524417
507	9381725884208
508	4869054620036
509	9979478032195
510	6207322754971
511	5077463486928
512	3234846680317
513	8844045358064
514	6344388690709
515	1787398893926
516	1456274561582
517	4138721679938
518	8915054717447
519	8816504959395
520	7656941245016
521	7306206589181
522	9419123457169
523	3687294634345
524	4524359455962
525	9837249248354
526	9933564320095
