rep	seed
0	9617153276200
1	7952181634631
2	8527282698028
3	5693886629173
4	9893812857287
5	8851736512768
6	3098815722007
7	6825651007689
8	5743982238082
9	5646711360718
10	1488197039594
11	7820397256904
12	3900980093139
13	1377164324804
14	5458745361167
15	1302000407946
16	3817074634155
17	4777673434608
18	4691644221238
19	8272669838522
20	2592085847722
21	3968327550731
22	7226058643739
23	6548991008524
24	6888002247767
25	9032235016922
26	2041921209499
27	7595911413727
28	4559172520074
29	5897603003918
30	8358490006301
31	5121441919749
32	1597861349847
33	1807248409445
34	1039384931772
35	9217477035507
36	5283857519757
37	5129039314228
38	4922539296793
39	9388953001049
40	9218574002939
41	4536392377915
42	6705425210294
43	6267943285613
44	2184929710234
45	8125214327359
46	6130822509758
47	1358547775470
48	1854259233219
49	4714990909834
50	4867996307619
51	9337276637322
52	5724885576161
53	4777201799559
54	3620144861020
55	5842904102404
56	7230617520285
57	2784256629436
58	1321903767841
59	4623835155026
60	2402736427448
61	1078262452492
62	6630285092169
63	7698346207857
64	2863530929819
65	9145303736489
66	4858348588801
67	2512726200612
68	8671563974083
69	2414182076322
70	8118327547351
71	6670853665019
72	3822081591021
73	4283241085858
74	9709477485393
75	9448049557065
76	7744301948853
77	2163309404053
78	7334966674213
79	7714492042624
80	5881898879701
81	6407328907809
82	9928916421232
83	4428641745577
84	6547112536380
85	6356278925867
86	4574080974334
87	9393781834134
88	1202622894595
89	9269244462718
90	5238722806046
91	1808564602571
92	9488994308754
93	8137471076740
94	7365639191732
95	7642008358112
96	5353779908894
97	7313576620755
98	5487474928727
99	4527905208264
100	9472960501897
101	6493612744728
102	4154476109942
103	2709542304237
104	6833879977230
105	8721423661969
106	8082368775925
107	5290177925833
108	1807008439535
109	2542490800871
110	5862250098501
111	9552281250511
112	9098524341837
113	7459522516884
114	9409647153089
115	1781770223090
116	3604431430219
117	2413848710377
118	6737550516898
119	7971561547767
120	4230962883471
121	7125132006904
122	2522062002544
123	3608683717774
124	3164588541078
125	2745569799976
126	7112369761338
127	5933938763843
128	7992217582258
129	8646177195773
130	1779281771982
131	8563289658648
132	6148182804250
133	2471221028207
134	8600708509745
135	2147327573943
136	3923123775507
137	1474342180770
138	2385738261285
139	2420334424530
140	3681238332408
141	5975740831706
