rep	seed
0	4280805709065
1	6032191005733
2	3055675534634
3	7264918573967
4	9247394700684
5	2924857912240
6	4812666325866
7	7483851322469
8	5115896956704
9	2242765257258
10	9188622382171
11	3132300074828
12	6020417846812
13	1239596796679
14	5014270044793
15	9809314860441
16	4599202980688
17	8391745058318
18	3325837087610
19	4973439218482
20	5943592322118
21	2267929157305
22	8011551100885
23	2413739619742
24	6309170247757
25	8627259926170
26	8050465033513
27	3865423696584
28	9007152280587
29	4568431217109
30	3330612858082
31	2640528486564
32	4901987646845
33	7814102070609
34	5300486896074
35	7439086732055
36	2516945259553
37	1042785406345
38	4265779597445
39	3869959340332
40	2859578057877
41	7014644009519
42	6091889716589
43	5805196950839
44	5474553004514
45	3054210464382
46	1517942191709
47	5244621420464
48	7443481578289
49	9280730061412
50	8112638073442
51	4846605666106
52	5000526033276
53	1619518678359
54	8697850892804
55	7567696350864
56	1583317928465
57	4615664156918
58	2025817843322
59	1932069708112
60	3760308134607
61	9727467778217
62	6136398330439
63	3665287547216
64	1603377922017
65	8790751876935
66	8679679966198
67	4596821982338
68	8045974846864
69	9203143061959
70	1201421407925
71	8506657876194
72	9441677119769
73	8076708327476
74	8293891759434
75	5398999490631
76	3338197880875
77	7423332405763
78	8563002058688
79	8309847928086
80	2148201058586
81	9869585917798
82	4315581099293
83	2542192165897
84	2270481209938
85	6664371920113
86	2881929297891
87	2625533170985
88	5197636383966
89	9706902690354
90	5424016602004
91	7571943119551
92	3992168383483
93	7695928380585
94	1393092143770
95	1904548876729
96	6466924281452
97	1588069281787
98	1839876830291
99	9853446512955
100	7445710439443
101	2426888061555
102	6171356083100
103	6729794930771
104	3914959600580
105	4784253781212
106	3092909876286
107	1363479346770
108	4588155803877
109	9744590203558
110	5763585955846
111	1200399957897
112	2194642762147
113	5040141126651
114	7701435350288
115	8025720297730
116	2746887725405
117	3058403647000
118	5483077947496
119	3439018258760
120	4015934049730
121	1886103589622
122	8778044311607
123	6010548914883
124	5279266797148
125	9519788294608
126	9567404883760
127	5245450745492
128	4442637917042
129	6328196164055
130	7593865958093
131	3290395232598
132	4806790354663
133	1675323154317
134	3791376919243
135	2793039489917
136	1894433873237
137	4485406179431
138	3963995592518
139	1651709506711
140	6847839830488
141	6610325634840
142	7212680709581
143	2531917437006
144	6628974044418
145	2139597069509
146	3751274035796
147	9866914892377
148	1087650801703
149	9485081109849
150	3583709154962
151	2150030406247
152	8075132920112
153	9843952152903
154	3082015510644
155	3054710218155
156	7925828409120
157	6681391960695
158	2699037178229
159	2877436174993
160	3802396921891
161	9006009804514
162	7805028011180
163	3530544313233
164	2237590419843
165	5073271561656
166	6532202619278
167	8778276759503
168	2723448728066
169	6062742027030
170	6950632799107
171	5784365826170
172	9727458194999
173	8799369879377
174	8437928997755
175	1471995634046
176	3986611103422
177	9396695902438
178	2386144217521
179	2921018988292
180	7481271253326
181	4577351697739
182	5840894631764
183	3394463573111
184	1702354108241
185	8000508002203
186	3718162886043
187	8999098284198
188	1595501961923
189	5843204061023
190	7796941101906
191	5387665745734
192	7905598691919
193	7688198550198
194	4153329702095
195	2105912076272
196	7725577371028
197	6606207801456
198	7906112937337
199	6637932953692
200	8387789051927
201	5830232472762
202	4548971723546
203	4418997321938
204	1439534296424
205	4583661089015
206	7082347160417
207	6381517366998
208	5253884446539
209	6163149352231
210	8913659400723
211	5366223682347
212	8630674266679
213	3118808320346
214	9135578444372
