rep	seed
0	7375247968031
1	3953663749129
2	6866885861324
3	2947371043400
4	4274000699568
5	6036771203509
6	9344389259193
7	6120620037540
8	3509907075915
9	2360783098209
10	6425954057861
11	8609203662468
12	6321880133568
13	1591062582570
14	1881008251787
15	9879870263396
16	5850112224167
17	3031881645273
18	3183023040448
19	6796922863945
20	8806563037892
21	6639813627209
22	7507363118791
23	1886038677151
24	6190855439049
25	9947272971337
26	1138690843779
27	6015434393903
28	6350667090541
29	9147729524898
30	3474822362375
31	8887902343265
32	2597427944797
33	2430859694366
34	2642671666492
35	2598041283454
36	2266082882724
37	5575193589735
38	1800813634910
39	9587539932136
40	3135466071531
41	8141655513708
42	1356950832355
43	7165561127684
44	6410897653562
45	3251942503655
46	7818263209822
47	8446597645482
48	5088149566677
49	5266743525397
50	2840977769783
51	7943135473450
52	9278496071460
53	6124002723909
54	2594583713838
55	5376208770556
56	6255207009655
57	4044516744275
58	4855965921390
59	9186407728928
60	6560953076544
61	3812546332060
62	5593302994558
63	9557422283695
64	1410470476537
65	8795596137957
66	9823573061641
67	8259284026732
68	5505864715960
69	6985053430255
70	7738589605054
71	3653883685670
72	8314031987822
73	7064226207342
74	7056251864680
75	7737630854797
76	8085548703223
77	6172698861170
78	6348055785667
79	6751310362498
80	1756015723045
81	3579200298174
82	6196508348803
83	4070060154286
84	1770289216380
85	4932274103256
86	7136696114744
87	6876313481092
88	9116506285452
89	1917158174032
90	4077812077500
91	5862988722156
92	8111474948268
93	6276666262887
94	6728645241930
95	5516729015527
96	5809681470943
97	4692471768578
98	1761174463375
99	4235060832525
100	2999573707685
101	5194467433524
102	8662649045923
103	4290322383210
104	8237131017133
105	6263962799810
106	9982008229910
107	1534094580422
108	5011112601963
109	6937160893074
110	8519392236219
111	5734283923677
112	9435997161876
113	8183881830967
114	5306596290273
115	9528345741781
116	3539836068461
117	6964681470424
118	1417738012348
119	2848735201371
120	5356981420287
121	3640305120212
122	1503028702257
123	5682707050949
124	1214175961393
125	8356994042340
126	3983722160344
127	4769546152738
128	4755201053520
129	3076063598378
130	3895555513786
131	3524622064057
132	6550788933938
133	9645440609861
134	7908048001526
135	4936973484931
136	2988349317823
137	4127350255983
138	4239683045971
139	8615775819277
140	3427640293466
141	5270744739222
142	9877295918550
143	4940763229541
144	2318864796553
145	1248091200335
146	4211314053931
147	6499829513849
148	3627396408676
149	2500988554906
150	9570236112491
151	1906524718657
152	2879133323270
153	6556841778334
154	3843532999138
155	9258707859687
156	9283712823878
157	7080031523186
158	6039522424949
159	1107474569839
160	4323821714681
161	7921409611140
162	4520518829645
163	3435957665730
164	9454001272142
165	7460387702466
166	5992275623834
167	7391760385310
168	4270409396798
169	8813085778175
170	5573940888343
171	4750895894633
172	5196992717810
173	6775975639818
174	2759664441426
175	1583765728441
176	4983265838115
177	4706875598017
178	2958138777097
179	1254461336891
180	2908942183896
181	3296845027987
182	7055271055283
183	5247661316043
184	3818861301940
185	4794582546758
186	3535990610728
187	7080801886045
188	7888105639169
189	1221137353302
190	3590581267134
191	1308559037327
192	7349207441860
193	2599233870348
194	2960782808008
195	2705501793231
196	4621519695731
197	9218272897215
198	9405078611204
199	5212326513248
200	6887654302365
201	8887514538895
202	6739597700074
203	3982669453301
204	8286360182375
205	4556938558743
206	9729199442000
207	4501137899722
208	5661232490812
209	9515220175226
210	1535744938915
211	8536236521209
212	6606557575855
213	2824685099194
214	8520208885610
215	4202105611970
216	5703583470266
217	7077037825080
218	7354954200317
219	9429616373618
220	1931593806276
221	4207697252251
222	5571115021610
223	5924820141433
224	8714191516839
225	7839978902781
226	6065460553570
227	4886745620526
228	4712336922773
229	6560080141413
230	9077673547436
231	1916587544867
232	4146161666596
233	6525593231450
234	7275534797776
235	2985849918080
236	3570120080751
237	3449089605113
238	9362142130773
239	3878462742512
240	2714262189922
241	3190761663246
242	5425326774758
243	3826210898035
244	6575554545850
245	2347227415324
246	8165501861983
247	9303712065366
248	7757310103642
249	6251805929546
250	8186475671864
251	4503496601526
252	7077341214514
253	3308612540528
254	3220302725017
255	3791606103188
256	3494287970890
257	3944076396625
258	2759521848672
259	9288361139304
260	2228180901148
261	5120259948105
262	6484112437461
263	2443878880645
264	9912110473542
265	5968644853888
266	9586803208121
267	3949448027043
268	6697352169556
269	8682866922614
270	9397079481292
271	5319759960834
272	8868218903044
273	2893604925781
274	6719451808806
275	8852137838491
276	4024891030600
277	6798604654148
278	9282572039897
279	5656501940203
280	5758909155290
281	5629138404113
282	8849597171002
283	6200441187790
284	9330368487560
285	6160794325942
286	8186759874334
287	9060240799714
288	6353183748499
289	7534990128719
290	8191942100079
291	2171864509392
292	3364141066762
293	5944513611611
294	5892743400844
295	8554814046821
296	8438041892924
297	5155826152300
298	2745102549700
299	5247027782137
300	1595157285700
301	7620192979021
302	1170445863420
303	2600571727311
304	3556844329647
305	5228855193106
306	9006795774837
307	8227180830537
308	4349728481330
309	6969007773626
310	4997361449505
311	6036371226167
312	6199912491616
313	2713903775564
314	4127875764966
315	3094815633751
316	8614761070142
317	8157904548803
318	4095726257196
319	9203359833948
320	6653300014990
321	7476354940596
322	1762311243359
323	3866638624497
324	8779332214184
325	4773507182240
326	4257708962998
327	7139919855525
328	7628626533304
329	8095619647711
330	3138423980121
331	5850345566682
332	8648728975119
333	5947705597607
334	7564305145686
335	2511424992203
336	2334886539834
337	9397642457011
338	8101009227102
339	8407459893998
340	7677966626096
341	8768461375928
342	4109155641185
343	1321887669111
344	2106850264058
345	8436179294649
346	8999497778267
347	8189353231516
348	5933212353745
349	1298762074548
350	5601749166612
351	9317885902742
352	3633393701063
353	8820459412461
354	1526474375689
355	3112100598113
356	5111309687287
357	5014848706744
358	3157528042131
359	1216694055639
360	1491550166763
361	8060455294847
362	5157310470416
363	7867367072059
364	9323374235331
365	4690776082465
366	1330436224630
367	8770520290985
368	3602639079670
369	3323724570226
370	7839804566404
371	3338035148188
372	7844785213594
373	2599328942047
374	5047446509409
375	4491826292907
376	1474930676749
377	6687137176284
378	5768248318330
379	3714305228359
380	2388093473424
381	6475918459457
382	2570018875581
383	3298437996037
384	8468648816471
385	2287862104649
386	7396783355693
387	5344862585868
388	3815481493859
389	1833348532108
390	7280975050871
391	7225468911450
392	5815029044768
393	9359416377943
394	9956767231492
395	8180961591199
396	6074085608649
397	6489214170715
398	7501636013468
399	7174560624583
400	5575045150616
401	8089584643427
402	7147812435270
403	1267062181756
404	9009900900861
405	1642226706945
406	1778986616765
407	5724738382072
408	8510517609441
409	2219163660585
410	9805037212794
411	5774017121232
412	9549312494848
413	4418984585386
414	6463263702266
415	5658913633616
416	3409050336769
417	8236024305790
418	3012380216181
419	6751670836815
420	8190334961887
421	2134922863257
422	9378271157832
423	7972533759013
424	9401148966041
425	5763755908879
426	1654659067446
427	2364794345779
428	9243605517171
429	5991485244090
430	9010108806492
431	6590341890724
432	3225631402281
433	2516218015995
434	4216882551893
435	7719424610965
436	1498789232305
437	6798258760637
438	2684484459378
439	2970603895634
440	9128888448892
441	2549121899111
442	9298559323264
443	6974576433398
444	2926669756424
445	5250066676038
446	5907037797212
447	9698823724851
448	3655076520768
449	2803129770136
450	6014783661065
451	5751629103662
452	3100253674415
453	5948997294764
454	2323026375150
455	3793187076387
456	7441004032709
457	8773225898618
458	7411432162258
459	1422391860491
460	5463514559795
461	7453046949216
462	4023842610472
463	4397725837621
464	4842348624817
465	7673974788444
466	6265815642338
467	9294890836391
468	1379822112684
469	4594674033570
470	1737374227869
471	4815764713972
472	9975388597244
473	3729633209177
474	7415672774592
475	9489608127824
476	8573667483106
477	1268199204378
478	4119458276648
479	6354333997309
480	3318896827805
481	5771118790072
482	4397060288235
483	8455858663957
484	4545415480565
485	5481825246764
486	9884850184333
487	3859532064256
488	7407851446805
489	6121647540534
490	2533881294536
491	4879110363049
492	5300089757505
493	8779080217726
494	6317414997297
495	3654462939755
496	5191752636693
497	8723685614572
498	2650502180793
499	4330337550554
500	4676888822770
501	3823094236521
502	1752793227302
503	1822735870206
504	9652775523122
505	3478814900455
506	1357877605149
507	8504463015733
508	8387507717972
509	1129296085769
510	8185773754698
511	7470323455813
512	5695726269555
513	5165733511187
514	1211436982588
515	3553877952460
516	7469842733318
517	7388623869385
518	8718534030207
519	4620688251923
520	5410818813199
521	5781210518532
522	8157064950117
523	2981828861795
524	5763551538004
525	7353344741792
526	1156291824489
527	6847761974131
528	6773984916391
529	3945735671038
530	1844569950694
531	3711051779441
532	4077044279555
533	9757705550429
534	2432166227683
535	7417072480693
536	6470376284617
537	1723507219542
538	4286183881907
539	1285693156599
540	4586342091088
