rep	seed
0	5366829196690
1	4841644770992
2	6865788018624
3	3651899620418
4	3669540873143
5	1834827743569
6	5216955589359
7	7720981851589
8	6855564667253
9	4081413950188
10	1425482499042
11	8545975182071
12	4644155179440
13	9263745544422
14	7959850033673
15	7643336971701
16	6078130816796
17	5866041262203
18	9019856043419
19	4247606214444
20	7013360866062
21	9412450528818
22	9907400591860
23	6774649914557
24	7068541195302
25	6767471475973
26	7926287853985
27	9970135829146
28	3055305207076
29	2696195049712
30	9396199195497
31	4028743431035
32	6359353303346
33	3966697647540
34	3572917570566
35	7031930199718
36	9097424840069
37	6083664808686
38	6686631578743
39	1079103936455
40	3140982500482
41	4838476171203
42	1805040128340
43	7733293165271
44	9174322627150
45	2004257600722
46	3819813309736
47	4297154732818
48	2728649387970
49	1519108930118
50	5747288006121
51	3772949680669
52	3903997976680
53	2901936161487
54	4845977231237
55	9816823036345
56	1445849538832
57	7719762714367
58	1790599783072
59	9501328658245
60	3461675808890
61	8525938790523
62	6714414312840
63	5927857437449
64	4890468516277
65	9240138546471
66	2567179753041
67	8658304071060
68	3217981901427
69	7706746646473
70	7022385873688
71	7350439621176
72	3323666571286
73	5054376168364
74	8477188283414
75	7571600458486
76	4345364869843
77	8921467579127
78	4899502228586
79	1797194483895
80	9704406104726
81	3180625299609
82	4060251665583
83	8917944865359
84	1934224886686
85	9543520051312
86	2183441438067
87	5174385642490
88	3470162687394
89	2290797088479
90	4123407955174
91	5283977636424
92	8394276875423
93	2146782084587
94	5715003840577
95	6014902545253
96	4237087282375
97	4147916496156
98	2387547460185
99	5144508239891
100	6658365778448
101	9389086485072
102	9506234256648
103	9147747005318
104	6362043547981
105	1745459176848
106	3446695534994
107	3947112551033
108	5481877912313
109	8340091965748
110	8856027317465
111	5139399298420
112	8199091954423
113	2642039682373
114	7636015976438
115	6616189437251
116	2142945986304
117	1087170464602
118	9281758321687
119	6038627120423
120	7562906205383
121	9408100771430
122	8818198531005
123	6228468230722
124	3295154903231
125	4077840471368
126	7668418080584
127	7848906109487
128	7309025079352
129	8011123574506
130	6612148895537
131	2816071220890
132	7962873141332
133	5773107366081
134	2054870388098
135	7943915277243
136	2067692848759
137	1084396775405
138	2494252837477
139	3190427028719
140	5844306643422
141	3749472451573
142	9038370551451
143	5991534994247
144	3415491043117
145	4981263329209
146	1068307078130
147	1500540530283
148	3039443376559
149	8000479945098
150	7548142622881
151	9609236881009
152	6119855364469
153	1270754916570
154	4339489054829
155	8832190026291
156	4101923528871
157	4772138584578
158	6575003053976
159	2317634779549
160	7570830719991
161	5252603940996
162	5255127254040
163	6338307824276
164	1011865778499
165	1283907150893
166	2907395470228
167	1866315048667
168	3508683133574
169	7644279730168
170	6289940903664
171	3952955938837
172	4165975453471
173	9866608050623
174	4687292049201
175	3006807509713
176	4558193354341
177	4102262302549
178	1313384851753
179	3838137896458
180	5604114800409
181	8551475375858
182	4633975105730
183	6827798367720
184	7658107486423
185	1425991656093
186	8746275886523
187	6326532804104
188	5333232693166
189	2288353909419
190	5608208752403
191	2407611256056
192	6985752146353
193	8446333427080
194	2622314376204
195	8699913042076
196	6489656287645
197	8741984659126
198	2418022946282
199	8357675393146
200	9973290020480
201	7239832298535
202	1068546837107
203	2836081085019
204	9144028837862
205	2600878409597
206	2726576001038
207	2515113976208
208	8650099739413
209	9615392511650
210	1931027026872
211	5897859072978
212	8961234973379
213	7016150401515
214	2551663703519
215	5215712951691
216	7353052905347
217	9769002188416
218	3013304288040
219	4752575538021
220	1330479930024
221	7542717301395
222	2880491020321
223	2683760953745
224	9513960120367
225	6030118948419
226	6638449689491
227	5427560401708
228	3578484655213
229	8069022611682
230	8842101887823
231	7071926499169
232	6946990075310
233	8569057990331
234	7919763144865
235	3358083407632
236	3772943601995
237	5702661153376
238	1721222583979
239	3060209327876
240	8884775109398
241	3607501694284
242	4972576675504
243	1805090068412
244	9583030501220
245	4284748743307
246	7489743136006
247	7435129655037
248	7467970196240
249	7207351389653
250	5303567216821
251	1377518608543
252	9168427755825
253	6559702352391
254	8236034618723
255	2455437111988
256	8145295380924
257	1972658644807
258	6561730736504
259	1327416586281
260	4937708325271
261	7410625270708
262	9903275733427
263	3403890946271
264	3431639065161
265	9227070195613
266	2156192866094
267	3491956838082
268	7866762132960
269	7312723596436
270	4909635705952
271	1839569625000
272	3977888195585
273	1140486664092
274	8711272854361
275	8862805217884
276	4555988012875
277	9671830992094
278	8538091419367
279	5134423826419
280	8863752151293
281	2626331466434
282	1781101713869
283	2635287484656
284	7067893870102
285	2783898359336
286	3605723962498
287	6934259637646
288	1672123610735
289	9489108282239
290	4272478584994
291	2225697122020
292	8276328544227
293	8690242491210
294	4200166377605
295	1838760751575
296	6174274310517
297	8188242244172
298	9441003038433
299	7003108906127
300	8750146542032
301	1572237802842
302	5789573856159
303	7616429886392
304	9212763879120
305	7885784724632
306	3411997863571
307	5750490860805
308	4888070943592
309	4053572171897
310	1448846623416
311	5008236934040
312	7263046001262
313	3520767797868
314	5172283757922
315	4334891471543
316	4914663019695
317	8013705199285
318	5585444845349
319	3190890847941
320	5733113617494
321	7585049135620
322	3685997389869
323	4204155601983
324	4613551288103
325	8000315638267
326	7624336170481
327	7782924621016
328	3807299272137
329	5592900724413
330	9927260919302
331	3010324072961
332	8882320232644
333	7602416154442
334	2599405606685
335	1654108416579
336	3690336830555
337	1082765796714
338	2739494411854
339	7933384541085
340	8799347201030
341	7472865811447
342	9406298526578
343	8358736286037
344	7407892384242
345	6487508589285
346	6905362123210
347	6048096968289
348	3336025873640
349	2417868454175
350	3592652705481
351	3877353391437
352	8836127691519
353	6249183820627
354	8454600987187
355	8933123169288
356	6574903944164
357	2635770374962
358	3657084675329
359	6049700295119
360	2556527387030
361	7878472537449
362	3327670718621
363	5164939073362
364	7473605154302
365	3460359046114
366	1596295926742
367	5521007583187
368	6562242472603
369	2368797304259
370	2251207540066
371	2726474596714
372	5896053870292
373	6430034652057
374	5005220452570
375	7877466635736
376	7031273072221
377	9480843177859
378	1784383979255
379	6624416627094
380	8969308990720
381	3240071546846
382	7213451218598
383	3786581474993
384	5155611928302
385	5829653090003
386	1331080872639
387	3781167139884
388	5915895084199
389	4976235911869
390	8306106837393
391	1108238865444
392	3567406622843
393	8957812887384
394	9880520324181
395	1055658341615
396	4852110135516
397	7429036639661
398	5391881763043
399	4888122025255
400	1938880331475
401	4964062167513
402	3870560940284
403	2281551230103
404	7724153774492
405	6161586367512
406	4577436502533
407	2664599882319
408	2142878047397
409	9273073176858
410	1369457602979
411	9825628730091
412	1921504363369
413	6810606629406
414	8744588579984
415	4316336323640
416	5936946759083
417	9373944049254
418	8529945731819
419	9167059724873
420	3341931515806
421	5083554874502
422	8997085108696
423	1911254359463
424	1311339381136
425	7050248509019
426	5448132552191
427	6594363154771
428	2830623345366
429	9764653166055
430	5776524971704
431	6240464271195
432	3230444153617
433	5963274148568
434	2553850971873
435	2764998408742
436	8437253237950
437	1937933202602
438	3050291504340
439	3672191822065
440	4016748882307
441	4461581495182
442	6862511946042
443	3794631723717
444	5696912696059
445	7021330342097
446	9664985428486
447	6490291290722
448	2994870636347
449	7262994768846
450	6211935331267
451	4691010290519
452	3159573635276
453	1190197526537
454	4444471569461
455	8186712982584
456	6638181088254
457	6337291129370
458	2471840536217
459	7210851031181
460	3966539756028
461	9711063699213
462	5883969508464
463	3573408574348
464	4569607699290
465	8123760243885
466	6062014013520
467	4410413044805
468	2488237618878
469	6472992027353
470	6563588569528
471	8948542468986
472	4187517478203
473	2901555640348
474	6379112056540
475	2189342249168
476	9734781809183
